,openYear,전국 관객수,서울 관객수
0,1972,0,242204
1,1973,0,98361
2,1982,0,111653
3,1990,0,9117
4,1991,0,442883
5,1992,0,634424
6,1993,0,336721
7,1994,0,1735834
8,1995,0,1229253
9,1996,0,2217507
10,1997,0,2897388
11,1998,0,2975444
12,1999,0,1838694
13,2000,0,792320
14,2001,0,611575
15,2002,0,182827
16,2003,4671324,1923338
17,2004,5517624,1996895
18,2005,2633275,760007
19,2006,5281625,1709343
20,2007,7777776,2425499
21,2009,1418830,572125
22,2010,5816556,1939489
23,2012,10413173,3197343
24,2013,19840042,5605321
25,2014,24394622,7267762
26,2015,30236559,8876104
27,2016,30373696,8857476
28,2017,23165776,6968324
29,2018,40087724,11471351
30,2019,64475394,16983378
31,2020,1928655,583776
