,openYear,전국 매출액,서울 매출액
0,1972,0.0,0.0
1,1973,0.0,0.0
2,1982,0.0,0.0
3,1990,0.0,0.0
4,1991,0.0,0.0
5,1992,0.0,0.0
6,1993,0.0,0.0
7,1994,0.0,0.0
8,1995,0.0,0.0
9,1996,0.0,0.0
10,1997,0.0,0.0
11,1998,0.0,0.0
12,1999,0.0,0.0
13,2000,0.0,0.0
14,2001,0.0,0.0
15,2002,0.0,0.0
16,2003,0.0,0.0
17,2004,0.0,0.0
18,2005,0.0,0.0
19,2006,0.0,0.0
20,2007,0.0,0.0
21,2009,10439717421.0,4509009000.0
22,2010,51063543746.0,18278097000.0
23,2012,83999857978.0,27431888397.0
24,2013,148151262101.0,44482667101.0
25,2014,195449965701.0,61908669701.0
26,2015,247642740530.0,76545936673.0
27,2016,251793551582.0,77699232363.0
28,2017,190340732774.0,60309934924.0
29,2018,344654726962.0,103858886822.0
30,2019,554257232256.0,155221351136.0
31,2020,16803915570.0,5412166040.0
