,movieCd,영화명,개봉일,서울 관객수,전국 관객수,국적,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
0,19820118,환타지아,1982-10-01,111653,0,미국,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,20040745,인크레더블,2004-12-15,492585,1155067,미국,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,19980282,벅스라이프,1998-12-12,369032,0,미국,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,20030072,니모를찾아서,2003-06-05,620593,1286412,미국,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4,20090391,업,2009-07-29,411959,1047327,미국,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5,20010292,몬스터주식회사,2001-12-20,533244,0,미국,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,19920231,미녀와야수,1992-07-04,590904,0,미국,1992,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,19980173,뮬란,1998-07-17,771194,0,미국,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,19940256,라이온킹,1994-07-02,920948,0,미국,1994,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
9,19970306,인어공주,1991-12-21,442883,0,미국,1991,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,20000211,환타지아2000,2000-08-05,19994,0,미국,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,20159748,투모로우랜드,2015-05-27,83016,265744,미국,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
12,20090866,G-포스:기니피그특공대,2010-04-22,11835,40161,미국,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13,20090850,공주와개구리,2010-01-21,41898,105654,미국,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,20060086,와일드,2006-04-20,13755,48094,미국,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15,19950232,포카혼타스,1995-07-01,280683,0,미국,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,19940097,쿨러닝,1994-02-05,49222,0,미국,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,19960361,101달마시안,1996-12-21,283807,0,미국,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18,20108885,그레이트월츠,1973-03-15,55493,0,미국,1973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20108729,그리즈리킹,1972-05-27,31217,0,미국,1972,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,20000224,디플로메틱시즈,2000-08-26,239,0,미국,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,19990226,타잔,1999-07-17,726542,0,미국,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22,20020152,릴로와스티치,2002-07-19,125360,0,미국,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19950351,산타클로스,1995-12-09,51745,0,미국,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,20030135,캐리비안의해적:블랙펄의저주,2003-09-05,738275,2010460,미국,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
25,20030071,어벤던,2003-05-30,10,0,미국,2003,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,20020018,리크루트,2003-03-14,113100,303458,미국,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27,20020004,보물성,2003-01-01,85789,235724,미국,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,20010169,리멤버타이탄,2001-04-14,78331,0,미국,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20020124,피터팬의리턴투네버랜드,2002-05-02,2172,0,미국,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20040550,헌티드맨션,2004-04-15,9790,28611,미국,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,20050165,허비,2005-08-19,14924,60643,미국,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
32,20050338,"나니아연대기-사자,마녀그리고옷장",2005-12-29,714948,2505133,미국,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,20100193,페르시아의왕자:시간의모래,2010-05-27,613211,2003533,미국,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
34,20050126,패시파이어,2005-06-03,30135,67499,미국,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,20090930,이상한나라의앨리스,2010-03-04,760628,2182365,미국,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,19950078,정글북,1995-01-28,86030,0,미국,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,19960218,월트디즈니의노틀담의꼽추,1996-07-06,340485,0,미국,1996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
38,19980113,조지오브정글,1998-04-25,41755,0,미국,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39,20090681,크리스마스캐롤,2009-11-26,152012,358286,미국,2009,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40,20040685,프린세스다이어리2,2004-10-29,63379,162789,미국,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,20090148,하이스쿨뮤지컬:졸업반,2009-02-19,8154,13217,미국,2009,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,20040630,카우삼총사,2004-08-06,5789,14396,미국,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,20060146,캐리비안의해적:망자의함,2006-07-06,1525853,4628903,미국,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
44,20060074,에이트빌로우,2006-04-06,6584,19922,미국,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,20040504,리지맥과이어,2004-02-27,442,442,미국,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,20050364,치킨리틀,2006-01-26,163151,584706,미국,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
47,20000158,티거무비,2000-05-04,7212,0,미국,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48,20000132,마이티조영,2000-04-01,857,0,미국,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,20000200,다이너소어,2000-07-15,654446,0,미국,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,19970322,플러버,1997-12-20,170774,0,미국,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
51,20000319,102달마시안,2000-12-22,80243,0,미국,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,19970201,월트디즈니의헤라클레스,1997-07-05,242802,0,미국,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
53,19970159,정글2정글,1997-05-31,3025,0,미국,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,20108120,로빈슨가의모험,1972-07-21,108937,0,미국,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,20108115,대자연의투쟁,1972-05-25,56902,0,미국,1972,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,20108105,털보대소동,1972-04-08,45148,0,미국,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
57,20108648,잠자는숲속의공주,1973-07-25,42868,0,미국,1973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
58,19920388,피터팬,1992-12-18,43520,0,미국,1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
