,openYear,Genre_SF,Genre_가족,Genre_공연,Genre_공포,Genre_기타,Genre_다큐멘터리,Genre_드라마,Genre_멜로/로맨스,Genre_뮤지컬,Genre_미스터리,Genre_범죄,Genre_사극,Genre_서부극,Genre_성인물,Genre_스릴러,Genre_애니메이션,Genre_액션,Genre_어드벤처,Genre_전쟁,Genre_코미디,Genre_판타지,복합장르
0,1957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,1972,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,1,2,0
2,1973,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1991,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1992,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
6,1994,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0
7,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,1996,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0
9,1997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0
10,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0
11,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,2000,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,2,0,2,1,0
13,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14,2002,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2003,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1,1,1,3,0,2,1,0
16,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0
17,2005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0
18,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,4,0,3,1,0
19,2009,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,0,2,1,0
20,2010,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,2,0
21,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
22,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
